name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005
TotalRevenue,"2,043,544,000","549,842,000","517,099,000","498,180,000","478,423,000","443,661,000","425,333,000","409,616,000","416,780,000","406,606,000","394,251,000","385,558,000","371,381,000","361,688,000","357,934,000","363,046,000","351,316,000","334,779,000","322,097,000","316,089,000","301,207,000","292,812,000","288,433,000","290,596,000","278,828,000","272,893,000","268,771,000","270,580,000","262,769,000","251,105,000","251,661,000","254,226,000","239,688,000","267,622,000","258,238,000","257,898,000","251,909,000","247,080,000","235,444,000","238,565,000","229,052,000","226,134,000","225,026,000","226,483,000","223,298,000","213,318,000","202,733,000","125,170,000","121,680,000","118,790,000","108,868,000","109,375,000","105,915,000","107,416,000","110,399,000","108,195,000","104,951,000","101,658,000","92,407,000","87,911,000","87,911,000","77,674,000","77,675,000","77,675,000","77,675,000","69,618,000","69,619,000","69,619,000","69,619,000"
	OperatingRevenue,"2,043,544,000","549,842,000","517,099,000","498,180,000","478,423,000","443,661,000","425,333,000","409,616,000","416,780,000","406,606,000","394,251,000","385,558,000","371,381,000","361,688,000","357,934,000","363,046,000","351,316,000","334,779,000","322,097,000","316,089,000","301,207,000","292,812,000","288,433,000","290,596,000","278,828,000","272,893,000","268,771,000","270,580,000","262,769,000","251,105,000","251,661,000","254,226,000","239,688,000","267,622,000","258,238,000","257,898,000","251,909,000","247,080,000","235,444,000","238,565,000","229,052,000","226,134,000","225,026,000","226,483,000","223,298,000","213,318,000","202,733,000","125,170,000","121,680,000","118,790,000","108,868,000","109,375,000","105,915,000","107,416,000","110,399,000","108,195,000","104,951,000","101,658,000","92,407,000","87,911,000","87,911,000","77,674,000","77,675,000","77,675,000","77,675,000","69,618,000","69,619,000","69,619,000","69,619,000"
CostOfRevenue,"358,684,000","95,903,000","89,674,000","87,327,000","85,780,000","75,935,000","70,704,000","70,456,000","74,609,000","70,154,000","70,486,000","71,975,000","82,346,000","73,757,000","70,906,000","71,368,000","71,304,000","69,306,000","68,491,000","68,595,000","67,521,000","63,819,000","62,986,000","62,130,000","63,172,000","64,804,000","65,593,000","76,753,000","82,653,000","77,455,000","78,876,000","76,816,000","75,427,000","84,727,000","80,040,000","83,359,000","80,185,000","74,191,000","68,350,000","73,243,000","72,291,000","69,121,000","68,968,000","68,840,000","70,218,000","69,131,000","69,741,000","30,463,000","29,291,000","32,214,000","28,247,000","29,269,000","28,935,000","35,449,000","28,131,000","30,011,000","31,586,000","29,678,000","29,426,000","31,304,000",,,,,,,,,
GrossProfit,"1,684,860,000","453,939,000","427,425,000","410,853,000","392,643,000","367,726,000","354,629,000","339,160,000","342,171,000","336,452,000","323,765,000","313,583,000","289,035,000","287,931,000","287,028,000","291,678,000","280,012,000","265,473,000","253,606,000","247,494,000","233,686,000","228,993,000","225,447,000","228,466,000","215,656,000","208,089,000","203,178,000","193,827,000","180,116,000","173,650,000","172,785,000","177,410,000","164,261,000","182,895,000","178,198,000","174,539,000","171,724,000","172,889,000","167,094,000","165,322,000","156,761,000","157,013,000","156,058,000","157,643,000","153,080,000","144,187,000","132,992,000","94,707,000","92,389,000","86,576,000","80,621,000","80,106,000","76,980,000","71,967,000","82,268,000","78,184,000","73,365,000","71,980,000","62,981,000","56,607,000",,,,,,,,,
OperatingExpense,"596,122,000","173,352,000","147,195,000","137,307,000","138,268,000","133,641,000","127,009,000","123,985,000","134,287,000","137,023,000","122,546,000","121,205,000","126,360,000","118,113,000","110,625,000","118,167,000","112,846,000","111,518,000","104,943,000","101,526,000","103,084,000","102,981,000","102,187,000","102,775,000","102,515,000","100,546,000","94,076,000","95,316,000","91,374,000","88,556,000","88,749,000","88,879,000","84,756,000","91,524,000","85,762,000","77,367,000","81,197,000","77,582,000","83,565,000","78,223,000","75,811,000","75,255,000","74,815,000","74,912,000","73,220,000","71,524,000","84,590,000","48,010,000","45,132,000","42,820,000","42,823,000","43,452,000","44,196,000","41,765,000","44,749,000","44,736,000","38,675,000","31,718,000","30,128,000","28,492,000",,,,,,,,,
	SellingGeneralAndAdministration,"391,078,000","113,581,000","97,929,000","88,373,000","91,195,000","84,534,000","80,281,000","79,926,000","86,382,000","89,145,000","78,666,000","78,035,000","83,545,000","77,857,000","70,900,000","71,452,000","72,596,000","71,119,000","67,021,000","63,042,000","64,018,000","63,076,000","63,373,000","63,873,000","63,579,000","63,399,000","58,769,000","75,556,000","72,465,000","69,345,000","70,833,000","71,516,000","67,658,000","70,722,000","65,380,000","57,612,000","61,631,000","57,172,000","62,973,000","57,602,000","55,436,000","54,509,000","53,724,000","53,321,000","51,418,000","49,300,000","63,306,000","40,177,000","37,461,000","33,487,000","33,525,000","34,052,000","34,716,000","34,640,000","37,624,000","37,611,000","31,550,000","24,593,000","23,431,000","22,227,000",,,,,,,,,
		GeneralAndAdministrativeExpense,"147,893,000","44,873,000","38,110,000","30,182,000","34,728,000","27,872,000","27,613,000","28,309,000","30,833,000","29,659,000","26,559,000","26,378,000","27,497,000","24,908,000","24,751,000","24,036,000","26,187,000","23,348,000","22,103,000","21,448,000","21,004,000","21,467,000","21,859,000","22,019,000","21,890,000","23,590,000","19,960,000","75,556,000","72,465,000","69,345,000","70,833,000","71,516,000","67,658,000","70,722,000","65,380,000","57,612,000","61,631,000","57,172,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,422,000","50,210,000","44,224,000","46,342,000","46,015,000","46,133,000","45,904,000","44,495,000","39,890,000","45,656,000","37,601,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"147,893,000","44,873,000","38,110,000","30,182,000","34,728,000","27,872,000","27,613,000","28,309,000","30,833,000","29,659,000","26,559,000","26,378,000","27,497,000","24,908,000","24,751,000","24,036,000","26,187,000","23,348,000","22,103,000","21,448,000","21,004,000","21,467,000","21,859,000","22,019,000","21,890,000","23,590,000","19,960,000","24,134,000","22,255,000","25,121,000","24,491,000","25,501,000","21,525,000","24,818,000","20,885,000","17,722,000","15,975,000","19,571,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"243,185,000","68,708,000","59,819,000","58,191,000","56,467,000","56,662,000","52,668,000","51,617,000","55,549,000","59,486,000","52,107,000","51,657,000","56,048,000","52,949,000","46,149,000","47,416,000","46,409,000","47,771,000","44,918,000","41,594,000","43,014,000","41,609,000","41,514,000","41,854,000","41,689,000","39,809,000","38,809,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"111,564,000","30,819,000","28,352,000","27,531,000","24,862,000","27,056,000","24,901,000","22,534,000","26,562,000","27,100,000","24,310,000","23,752,000","23,172,000","20,312,000","20,591,000","19,801,000","20,707,000","20,721,000","17,983,000","18,203,000","18,977,000","18,960,000","18,750,000","18,566,000","18,928,000","17,776,000","15,548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"93,480,000","28,952,000","20,914,000","21,403,000","22,211,000","22,051,000","21,827,000","21,525,000","21,343,000","20,778,000","19,570,000","19,418,000","19,643,000","19,944,000","19,134,000","26,914,000","19,543,000","19,678,000","19,939,000","20,281,000","20,089,000","20,945,000","20,064,000","20,336,000","20,008,000","19,371,000","19,759,000","19,760,000","18,909,000","19,211,000","17,916,000","17,363,000","17,098,000","20,802,000","20,382,000","19,755,000","19,566,000","20,410,000","20,592,000","20,621,000","20,375,000","20,746,000","21,091,000","21,591,000","21,802,000","22,224,000","21,284,000","7,833,000","7,671,000","9,333,000","9,298,000","9,400,000","9,480,000","7,125,000","7,125,000","7,125,000","7,125,000","7,125,000","6,697,000","6,266,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"93,480,000","28,952,000","20,914,000","21,403,000","22,211,000","22,051,000","21,827,000","21,525,000","21,343,000","20,778,000","19,570,000","19,418,000","19,643,000","19,944,000","19,134,000","26,914,000","19,543,000","19,678,000","19,939,000","20,281,000","20,089,000","20,945,000","20,064,000","20,336,000","20,008,000","19,371,000","19,759,000","19,760,000","18,909,000","19,211,000","17,916,000","17,363,000","17,098,000","20,802,000","20,382,000","19,755,000","19,566,000","20,410,000","20,592,000","20,621,000","20,375,000","20,746,000","21,091,000","21,591,000","21,802,000","22,224,000","21,284,000","7,833,000","7,671,000","9,333,000","9,298,000","9,400,000","9,480,000","7,125,000","7,125,000","7,125,000","7,125,000","7,125,000","6,697,000","6,266,000",,,,,,,,,
			DepreciationIncomeStatement,"28,901,000","7,929,000","6,809,000","7,020,000","7,143,000","7,281,000","7,494,000","7,463,000","7,567,000","7,535,000","7,209,000","7,405,000","7,850,000","8,311,000","7,453,000","7,377,000","8,205,000","8,118,000","9,325,000","9,159,000","8,838,000","9,447,000","8,312,000","8,393,000","8,168,000","7,568,000","8,049,000","8,065,000","7,207,000","7,620,000","6,342,000","5,921,000","5,828,000","6,042,000","5,934,000","5,246,000","5,080,000","4,989,000","4,633,000","4,662,000","4,416,000","4,478,000","4,669,000","5,168,000","5,110,000","5,530,000","4,934,000","3,556,000","3,393,000","3,065,000","2,869,000","2,972,000","3,051,000",,,,,,,,,,,,,,,,
			Amortization,"64,579,000","21,023,000","14,105,000","14,383,000","15,068,000","14,770,000","14,333,000","14,062,000","13,776,000","13,243,000","12,361,000","12,013,000","11,793,000","11,633,000","11,681,000","19,537,000","11,338,000","11,560,000","10,614,000","11,122,000","11,251,000","11,498,000","11,752,000","11,943,000","11,840,000","11,803,000","11,710,000","11,695,000","11,702,000","11,591,000","11,574,000","11,442,000","11,270,000","14,760,000","14,448,000","14,509,000","14,486,000","15,421,000","15,959,000","15,959,000","15,959,000","16,268,000","16,422,000","16,423,000","16,692,000","16,694,000","16,350,000","4,277,000","4,278,000","6,268,000","6,429,000","6,428,000","6,429,000","7,125,000","7,125,000","7,125,000","7,125,000","7,125,000","6,697,000","6,266,000",,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"64,579,000","21,023,000","14,105,000","14,383,000","15,068,000","14,770,000","14,333,000","14,062,000","13,776,000","13,243,000","12,361,000","12,013,000","11,793,000","11,633,000","11,681,000","19,537,000","11,338,000","11,560,000","10,614,000","11,122,000","11,251,000","11,498,000","11,752,000","11,943,000","11,840,000","11,803,000","11,710,000","11,695,000","11,702,000","11,591,000","11,574,000","11,442,000","11,270,000","14,760,000","14,448,000","14,509,000","14,486,000","15,421,000","15,959,000","15,959,000","15,959,000","16,268,000","16,422,000","16,423,000","16,692,000","16,694,000","16,350,000","4,277,000","4,278,000","6,268,000","6,429,000","6,428,000","6,429,000","7,125,000","7,125,000","7,125,000","7,125,000","7,125,000","6,697,000","6,266,000",,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",,,,,,,,,
OperatingIncome,"1,088,738,000","280,587,000","280,230,000","273,546,000","254,375,000","234,085,000","227,620,000","215,175,000","207,884,000","199,429,000","201,219,000","192,378,000","162,675,000","169,818,000","176,403,000","173,511,000","167,166,000","153,955,000","148,663,000","145,968,000","130,602,000","126,012,000","123,260,000","125,691,000","113,141,000","107,543,000","109,102,000","98,511,000","88,742,000","85,094,000","84,036,000","88,531,000","79,505,000","91,371,000","92,436,000","97,172,000","90,527,000","95,307,000","83,529,000","87,099,000","80,950,000","81,758,000","81,243,000","82,731,000","79,860,000","72,663,000","48,402,000","46,697,000","47,257,000","43,756,000","37,798,000","36,654,000","32,784,000","30,202,000","37,519,000","33,448,000","34,690,000","40,262,000","32,853,000","28,115,000","87,911,000","-149,728,000","77,675,000","77,675,000","77,675,000","-135,231,000","69,619,000","69,619,000","69,619,000"
NetNonOperatingInterestIncomeExpense,"-158,117,000","-39,968,000","-41,741,000","-39,210,000","-37,198,000","-37,029,000","-37,061,000","-40,456,000","-36,748,000","-34,990,000","-32,249,000","-32,570,000","-31,829,000","-29,795,000","-29,380,000","-27,480,000","-26,790,000","-26,790,000","-27,185,000","-27,717,000","-28,092,000","-28,138,000","-25,991,000","-22,333,000","-22,283,000","-22,404,000","-16,982,000","-10,931,000","-10,904,000","-15,565,000","-5,327,000","-5,174,000","-4,903,000","-6,653,000","-5,562,000","-6,267,000","-6,752,000","-6,936,000","-7,062,000","-29,344,000","-12,132,000","-12,932,000","-12,929,000","-12,666,000","-16,444,000","-17,367,000","-20,301,000","-8,648,000","-4,028,000","-4,174,000","-4,255,000","-4,684,000","-5,517,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,497,000","368,000","396,000","347,000","386,000","301,000","475,000","771,000","3,483,000","5,299,000","3,673,000","3,345,000","4,086,000","6,096,000","6,522,000","4,281,000","2,770,000","2,237,000","1,835,000","1,310,000","932,000","901,000","799,000","585,000","621,000","492,000","285,000","185,000","204,000","226,000","277,000","192,000","156,000","261,000","265,000","237,000","268,000","242,000","252,000","237,000","223,000","335,000","184,000","186,000","143,000","128,000","114,000","343,000","408,000","339,000","373,000","220,000","121,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"159,614,000","40,336,000","42,137,000","39,557,000","37,584,000","37,330,000","37,536,000","41,227,000","40,231,000","40,289,000","35,922,000","35,915,000","35,915,000","35,891,000","35,902,000","31,761,000","29,560,000","29,027,000","29,020,000","29,027,000","29,024,000","29,039,000","26,790,000","22,918,000","22,904,000","22,896,000","17,267,000","11,116,000","11,108,000","15,791,000","5,604,000","5,366,000","5,059,000","6,914,000","5,827,000","6,504,000","7,020,000","7,178,000","7,314,000","29,581,000","12,355,000","13,267,000","13,113,000","12,852,000","16,587,000","17,495,000","20,415,000","8,991,000","4,436,000","4,513,000","4,628,000","4,904,000","5,638,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-72,485,000","5,144,000","-37,839,000","-38,641,000","-1,149,000","-1,890,000","-1,516,000","-35,552,000","-8,287,000","-17,906,000","-222,000","-63,000","-2,554,000","47,266,000","-177,000","10,292,000","-938,000","-205,000","-675,000","-740,000","-885,000","-779,000","253,000","-2,814,000","-81,000","297,000","6,922,000","-164,000","-178,000","1,199,000","1,287,000","726,000","-1,071,000","-154,000","-627,000","354,000","-224,000","-56,000","-873,000","-494,000","-579,000","1,302,000","1,985,000","-423,000","-10,072,000","-4,217,000","-7,477,000","-98,000","608,000","71,000","168,000","2,000","-882,000","-4,435,000","-3,224,000","97,000","136,000","137,000","200,000","27,000",,,,,,,,,
	SpecialIncomeCharges,"-16,013,000","0","0","-16,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,997,000","-873,000","-494,000","-579,000","1,302,000","1,985,000","-423,000","-10,072,000","-4,217,000","-7,477,000","-98,000","608,000","71,000","168,000","2,000","-882,000","-4,435,000","-3,224,000","97,000","136,000","137,000","200,000","27,000",,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-22,000","-29,000","125,000","-1,002,000","40,000","4,431,000","1,943,000","6,953,000",,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"16,013,000","0","0","16,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"873,000","516,000","608,000","-1,427,000","-983,000","383,000","5,641,000","2,274,000","524,000",,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-56,472,000","5,144,000","-37,839,000","-22,628,000","-1,149,000","-1,890,000","-1,516,000","-35,552,000","-8,287,000","-17,906,000","-222,000","-63,000","-2,554,000","47,266,000","-177,000","10,292,000","-938,000","-205,000","-675,000","-740,000","-885,000","-779,000","253,000","-2,814,000","-81,000","297,000","6,922,000","-164,000","-178,000","1,199,000","1,287,000","726,000","-1,071,000","-154,000","-627,000","354,000","-224,000","-56,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"858,136,000","245,763,000","200,650,000","195,695,000","216,028,000","195,166,000","189,043,000","139,167,000","162,849,000","146,533,000","168,748,000","159,745,000","128,292,000","187,289,000","146,846,000","156,323,000","139,438,000","126,960,000","120,803,000","117,511,000","101,625,000","97,095,000","97,522,000","100,544,000","90,777,000","85,436,000","99,042,000","87,416,000","77,660,000","70,728,000","79,996,000","84,083,000","73,531,000","84,564,000","86,247,000","91,259,000","83,551,000","88,315,000","75,594,000","57,261,000","68,239,000","70,128,000","70,299,000","69,642,000","53,344,000","51,079,000","20,624,000","37,951,000","43,837,000","39,653,000","33,711,000","31,972,000","26,385,000","20,376,000","30,147,000","30,385,000","28,735,000","34,101,000","32,919,000","33,136,000",,,,,,,,,
TaxProvision,"132,153,000","51,898,000","30,774,000","30,272,000","19,209,000","38,950,000","6,685,000","24,044,000","14,724,000","23,750,000","31,765,000","34,055,000","-49,900,000","35,157,000","23,014,000","39,494,000","24,346,000","62,358,000","35,650,000","36,245,000","28,674,000","28,845,000","32,241,000","33,587,000","30,410,000","25,437,000","34,644,000","31,399,000","28,036,000","27,459,000","28,272,000","27,280,000","26,385,000","37,307,000","30,937,000","30,206,000","24,614,000","33,863,000","27,320,000","19,715,000","24,273,000","25,642,000","20,512,000","23,982,000","19,823,000","20,813,000","10,305,000","13,884,000","16,319,000","15,118,000","12,787,000","12,354,000","9,661,000","7,551,000","11,269,000","11,754,000","10,801,000","15,862,000","11,540,000","12,390,000",,,,,,,,,
